"관광안내소명","안내소위치명","시도명","시군구명","안내소소개","부가서비스정보","휴무일","운영시작시각(하절기)","운영종료시각(하절기)","운영시작시각(동절기)","운영종료시각(동절기)","평균근무인원수","영어안내가능여부","일본어안내가능여부","중국어안내가능여부","안내가능외국어","안내소전화번호","소재지도로명주소","소재지지번주소","운영기관명","홈페이지주소","위도","경도","데이터기준일자","제공기관코드","제공기관기관명","작업일시"
"마포관광정보센터","서울특별시 마포구 서교동 348-1외 1필지(여행자 편의시설)","서울특별시","마포구","마포관광정보센터 및 차량이동관광안내소(홍카) 운영을 통해 고품질 관광안내서비스를 제공하여 관광객들의 편의 증진 및 관광도시 마포 구현","관광객 휴식공간 마련 인터넷 검색대 제공 휴대폰 급속충전 와이파이존 구축 및 차량이동관광안내소(홍카) 운영","명절당일 휴무","11:00","20:00","11:00","20:00","2","Y","Y","Y","영어 중국어 일본어","02-334-7878","","서울특별시 마포구 서교동 348-1","마포구 관광과 (수탁업체:㈜프리미엄패스인터내셔널)","culture.mapo.go.kr","37.5565076249","126.9260165138","2021-08-05","","","2022-03-11 17:41:50.0"
"도봉탐방지원센터","도봉산 입구","서울특별시","도봉구","도봉산 탐방 정보 안내 및 그린포인트 적립","","연중무휴","09:00","18:00","09:00","18:00","3","Y","Y","Y","","02-954-2565","서울특별시 도봉구 도봉산길 73","","서울특별시 도봉구청","","37.6865126213","127.0376078301","2019-09-30","","","2022-03-11 17:41:50.0"
"북촌마을안내소","정독도서관 서울교육박물관 앞","서울특별시","종로구","방문객에게 마을 정보를 제공하고 공익목적의 전시 개최","서가 운영 와이파이 및 인터넷 검색 가능","설 추석 당일","09:00","18:00","09:00","18:00","3","Y","Y","Y","","02-2148-4161","서울특별시 종로구 북촌로5길 48","서울특별시 종로구 화동 2","서울특별시 종로구청","","37.58126437","126.9838695","2021-03-23","","","2022-03-11 17:41:50.0"
"불광 둘레길 관광안내소","북한산생태공원 입구","서울특별시","은평구","북한산 둘레길 은평구(7~10구간) 안내소 주말 운영종료시각 16:00","교통편 및 인근 상가 안내","설날 추석","08:00","11:00","08:00","11:00","2","N","N","N","","02-351-6505","","서울특별시 은평구 불광동 산42-5 북한산생태공원 입구 인근","서울특별시 은평구청","","37.6107230000","126.9392720000","2021-11-01","","","2022-03-11 17:41:50.0"
"구파발 둘레길 관광안내소","구파발역 2번출구 인근","서울특별시","은평구","북한산 둘레길 은평구(7~10구간) 안내소 주말 운영종료시각 16:00","교통편 및 인근 상가 안내","설날 추석","08:00","11:00","08:00","11:00","2","N","N","N","","02-351-6505","서울특별시 은평구 진관2로 구파발역 2번 출구 인근","서울특별시 은평구 진관동 222-36 구파발역 2번 출구 인근","서울특별시 은평구청","","37.6363480000","126.9191960000","2021-11-01","","","2022-03-11 17:41:50.0"
"북한산성 둘레길 관광안내소","북한산성입구 버스정류장 인근","서울특별시","은평구","북한산 둘레길 은평구(7~10구간) 안내소 주말 운영종료시각 16:00","교통편 및 인근 상가 안내","설날 추석","08:00","11:00","08:00","11:00","2","N","N","N","","02-351-6505","","서울특별시 은평구 진관동 288 북한산성입구 버스 정류장 인근","서울특별시 은평구청","","37.6582500000","126.9455330000","2021-11-01","","","2022-03-11 17:41:50.0"
"강남관광정보센터","3호선 압구정역 6번 출구 도보 2분","서울특별시","강남구","서울 및 강남 주요 관광명소 교통 음식 숙박 행사 관련 최신 정보를 영중일 다국어로 안내","휴관(현재 코로나19 백신접종센터로 운영중)","연중무휴","10:00","19:00","10:00","19:00","2","Y","N","Y","","02-3445-0111","서울특별시 강남구 압구정로 161","서울특별시 강남구 압구정동 428","서울특별시 강남구청","https://www.gangnam.go.kr/contents/tourgangnam/2/view.do?mid=FM010406","37.5268431","127.0270587","2021-08-18","","","2022-03-11 17:41:50.0"
"이태원 역사관광안내소(지하)","용산구 이태원동 지하철6호선 지하 내","서울특별시","용산구","","","설 추석 당일 휴무","10:00","19:00","10:00","19:00","3","Y","Y","Y","","02-3785-0942","용산구 이태원동 지하철6호선 지하 내","","서울특별시관광협회","http://www.sta.or.kr/new_home/6/6-1.html","37.5346163","126.9912059","2021-09-15","","","2022-03-11 17:41:50.0"
"서초관광정보센터","강남역9번출구","서울특별시","서초구","코로나19 강남역 임시선별검사소 운영중","","명절당일","10:00","20:00","10:00","20:00","","","","","","0507-1320-126","","서울 서초구 서초동 1318-7","서초구청","","37.4981828085","127.0270516326","2021-10-21","","","2022-03-11 17:41:50.0"
"영등포관광정보센터","서울 영등포구 문래로 196 타임스퀘어광장","서울특별시","영등포구","","","설/추석 명절 당일","10:00","19:00","10:00","19:00","3","Y","Y","Y","영어/중국어/일어","02-2675-5600","서울특별시 영등포구 문래로 196","서울특별시 영등포구 영등포동4가 442-6","영등포구청","","37.5178930710","126.903777","2021-10-21","","","2022-03-11 17:41:50.0"
